pattern_id,normalized_pattern,example_source,count,sample_seg_ids
pattern_e6fd263c6ab204c9,A sequence starts at {n} and increases by {n} each time. What is the 18th term?,A sequence starts at 0 and increases by 2 each time. What is the 18th term?,25,fc61d246dc4587e8ae8314a3796908a3f93a65bfc89d7ea9b574b9a5a3f69284 | 77d5adfcbf5965d04facd715e3aefbe7bc802248c2732ebbfef77e282c776669 | b31f2dedae3aded1aeb870333af4a3ac3d51a4e60ba9c3e1fb9f74ba612ea085 | efdec1f7164bb534a758ed4aa22c099ba8a859fbcc17e531e75e29bbc8fa8827 | 200e9dc008ab1538d819c6e2c0da0aea678ac1c0ff15b659fa440f207fe17085
pattern_9f0b31eaa9d87e1a,Differentiate: (4x + {n})^{n},Differentiate: (4x + 0)^2,25,389b2c78bdf45b82991ffa42768402553f21e8ef24abca7088a9c21a0a10fb8c | 99804b838fa3992899e67aefbd3ca08b663fd07fe8464aff3dd5110b5ca15381 | 6ede2378f13b54d41817203c07ec6bce9755a19551a1b89f3109c885cdbaa452 | 34c9c55ece579c7d124e8c1f11d27c29d8621fa3dd1d05c2c4bf3ab69c3cbe99 | 3fa4be2055c17b01e2dd8256666e367c651480f5ad7166fcf5296ff4f9d5ff66
pattern_9942ab0a586c9c15,Evaluate: 2x +{n} when x = {n}.,Evaluate: 2x +0 when x = 1.,25,6580a42de3b6cf6f38a1c0c5ccab3a564dae8328e210dc535f900ef505e801d2 | 1614185e1acc82817f3328970925d9e909240c0ba43e93fa6a7d011090a60068 | 6a450c0ea91fd57dcee74fc74439cadf32f50b350e085785303c5cf1626446ea | a688d00159e386a7077713627050ae4c69f306c8929a0bf297732101453c26d6 | da4a020131d07bbb01f7f631338dbf18e8d5a5058434a01af1bf3decc6c09638
pattern_93c6dc28bd21af7b,Evaluate: 4x -{n} when x = {n}.,Evaluate: 4x -1 when x = 0.,25,08433a7c4d092d672f89e59c2872d8aea7a074dc23365a5ce2dc25d32fd2feaf | 59a85810392259c9d6776c57982a4dfa7c715cc45e0e37a6d64ff1d2736df860 | c2a39b94a69fd06e5a022327902b0e7b1ebb8b1c5b0ec5e62ea33bd948e00036 | e011113d87e5266af69e6867c8b8ec69b1dd931195ba664035dfaf9806d491e8 | 4a073d47d3ee67271818574b68bfbfb15a69e472d2be4c6105e96e84ffbb7d20
pattern_4f4485ec48936e46,"In a frequency table, if frequency up to {n} is {n} and frequency from {n}–{n} is {n}, what is the cumulative frequency up to {n}?","In a frequency table, if frequency up to 10 is 10 and frequency from 11–20 is 22, what is the cumulative frequency up to 20?",25,cb616a61b5a69adbe02960452c237be8b714ea163c0a2660a74d3edff5456931 | b5dae56b8e753f7afc577350ddf8ab4583a2d3ab854e72e19c475de11c32067f | c844863be117799bb02461aef612c98a8128c47f03649ebceef2349b6ba5fdab | 8587c2db4fdbf568dbffbdfb28cccf32b5c8ca970e023ab710aaacd036fad8c5 | e4fd4c0d7cc4ee40f1c6252d51b595ebba47490a02086c11a2f76591fe21164f
pattern_0b1d9dc8c8875f12,Differentiate: (1x + {n})^{n},Differentiate: (1x + 0)^2,24,deecff97f66f992bf3f651aa168b0c7d2451ed9e85d7563262bc02b9166ae2fe | 294b3c47e51333f080d663f261dadce47fa42927ddcfd8746dd82d7da8207cc1 | 72429fadaec08e932e34f6310f3524826976c7b7fbc6bf5280c3a3f2cb314240 | 22dfa4c0466c0387c325f4a57394dd1004826e77ef3dcb6b1f82b29161369fa3 | a6c8f63495c784872887fec4802673a9c326cf6451e7fad5bfa4ef3fb3e3e863
pattern_296259624f14ed0d,Differentiate: (3x + {n})^{n},Differentiate: (3x + 0)^2,24,5b612e5540d055c4b9e215cb4fd2cfd9c4a7322d9952cb643c612089ff376126 | db0d18f6d531717255822ae587b514dd6a929b5faddb74ec16c114bd9af8f48b | 8b74555b91f55e2bddf298150de431882680fc99c4d1e2fe85c8256981e8484a | 5892dbf300d970bd54692116f3f1b7b78c1958b2fd8c15bdf12c52adb74f78b0 | ca37fde27d27556c92eb118496dc074221dd12d36bb6da2b174263358cd8c033
pattern_803196eea833c20e,Differentiate: (6x + {n})^{n},Differentiate: (6x + 0)^2,24,f12cff303b49b3e72f3a2b5346ab498709e2d4ffe4dbb9cfd840dd3124222250 | 821f555cc254020ad0b23f9b4c4f5b58372fc040de57aa5c25a5ca027bd71956 | e74ff05e0ac179696c039ea8205d63a9f5f87e815c7e99ce24b0abf0b8cd636f | 3b24423f8dd4ff9fc9add2f6ab06f1b021bc8872f900c8c7d8c5ad82766a313b | db82527f15285ffff23a6d51c376ff0a18bc28a24f9de8a9c08ffb4539d81c59
pattern_8c5f3150da39bb88,Evaluate: 4x +{n} when x = {n}.,Evaluate: 4x +0 when x = 2.,24,9d0b1dc0da39609378c07ec02ffbc6f08d7110f1289e80d8092c911aac53cd70 | 38526db0ff03b37180dc4f95c5229ef3c475f4b7c6790ba6213fe63cb29f77b1 | 43246e1cd7034819ba39f65a93907254ee3e77cc041f698940984d25dbd6ebcc | 91ab9949681af486b2bd21bbaff2f0637d48226c8ebf9a777619fd9cb8acf6b1 | 1259ec1f7a4b485a5d06d12aa01630f00bd7f342d524f4c68de0498314530b72
pattern_f7a6896c4a6ec9ee,Evaluate: 6x -{n} when x = {n}.,Evaluate: 6x -1 when x = 2.,24,932ebcc503bca424e3f6eea54473146ef7e45450b3a8f11818b83a8e4ab5b78a | c73a45f4bf87b78f60eea1d28f742d4547d6a5146e36924458e3c3d74aeaa41c | 0f63bd463c7c10d533aef939b979f6f662783b982b68507a4ebd19a2c07916a4 | 1b18b36e23213cfbbc031089e829fa7b4f5645cf4113634f1595957c7daceda3 | 0ee0641a4f3147c4794fc1fea4230d6619e810b4f723ec1e59f37d4eac633405
pattern_8b81a96bb2f3f946,Integrate: (5x + {n})^{n},Integrate: (5x + 0)^2,24,815b14943d80159282eb705c24963e84115b156ee4a7d12cb36ccc5b7df5d516 | cf709406fbc7d03d42c505d887aed14f362932cc2cc1bff1eb9432e8697b523e | e9c99b8b4e63ba300cfe152e797fdbe017160e3fd236115a0d855347d911683e | 0558dd128336efaefbac9904c480436b50b0ae545d4a87695a0ebd6a2c811aba | 83df5d974b835856e41e6543ac018aaab2bd575af27c1ad373fc5f0d2334fdff
pattern_4e82780a51320ee5,A sequence starts at {n} and increases by {n} each time. What is the 16th term?,A sequence starts at 1 and increases by 9 each time. What is the 16th term?,23,42dbfebfddd04c3c0f411c8a7432198df815e8b9648d7dadb0a65086061d6ff3 | c8aed44988476176048badbfb1f1da027d39543d45ea26ca488e3391ece93dd5 | cc2e6e9baf923be04fdf2a0c76ca60ebc2f2ec72996f84ae5d60368d65867a33 | e2db09eb69e82a454bda9b693111c93aeb1c953a059e69478b51d6c883da190f | 91b2cf6a9ecceae6b1dc05128d68ecb160d65157034d00d0fcbaaeb8a161010e
pattern_116524c2545cd7d2,Evaluate: 5x -{n} when x = {n}.,Evaluate: 5x -1 when x = 0.,23,8ec8886e9779e2052eb07db6efe43850cf07be6d8c7ff2b94a46d215c22a0d92 | c94b8d9c287ed4908798466f860e13cd732278c4ead8be2078d698ad11b2a895 | 68cf5d70041c1acc42cfaca2158005499fc5987f2f65f2ea606fdd4722e32b08 | ce7cf16123e5ed9ed553588f2464ebe96c90f2766c993130372276232c6c9af7 | 608874316fbfb21dcfce75cdc644753f0e5759eb8ec729e7f03f8125c2cb72a4
pattern_50ac97207df81a53,Integrate: (3x + {n})^{n},Integrate: (3x + 0)^2,23,ecd14b2688a1eef1943b3afb320ae3312eabff60642962c8857a880fc9ea5856 | 820ee695da0b81d9e4bc3b00e8b9051a1b1a4170551b6d695031e85112dbf88c | 956d90247af189885b362e40c1b63badb43a75ca169ee39fc049ecea3fb710dc | 290153f1bb109131f41db46cb9bf9cc61795a821e68a867d028fb309fc52fb59 | a7b7ba18fecac367c969c428b6d4c895cef72065b0e62a8f17f82eb00a3f9812
pattern_ecad506c7eb9f892,A sequence starts at {n} and increases by {n} each time. What is the 14th term?,A sequence starts at 0 and increases by 2 each time. What is the 14th term?,22,856ab2023cae3373264622d1de88b9968ac3d657051bd0a6f3dfc5edcb89d296 | 6f30db7eccd2b2fafc1af0fdda95530d52021374aa86a9df259151089a9c5d67 | 5593344abd80f28d8ac83d7a875703e6a26df1f0ab0c3cf23cea962cbe331d0b | 32372eddee1b6702a944bf10ab3fed9f9aad2ae4bcbe51877518dcbac3aa078c | d3ffa2608c50431498ba42a7627e4d23a866d3c2eb0d7dfcce75c24e1b6d2025
pattern_1f9439da36fec924,A sequence starts at {n} and increases by {n} each time. What is the 15th term?,A sequence starts at 0 and increases by 9 each time. What is the 15th term?,22,7dc89f10abbffb2a245f243253a9e8d43ef3525ae013c27f4b41a422779f7f1a | 2ef03f18b86e0b052cd3fb467959fd341283e6dbb645016334e6608c812ed31f | a892e190bf44d38f3dc8653f4c17483aae03ef0a61fbc9459c72ed2e70305766 | 15cc267455440574d4d980d6aa2d9cbace38dad7d2f81ac8bd4e21fdfd59310e | 6ac14278aae4b0a165992c8b378439f3ae2e9c641866d35a0e3c5dedeb96fdbf
pattern_803f55225e9fda20,Integrate: (4x + {n})^{n},Integrate: (4x + 0)^2,22,9af863cf93316a10922eac5318e34e81190cda86c64c57f3135473fbfe743a6b | db29d78f71301c108471f1d6eb205f49cdc9da22066407dbc5dbdd8587df47e6 | db46a5711dcd8fef6e6f9d387df20b1db78f2de81d82585f0a57e52dc9506521 | 01b8de06bf13e19cb74a25c0e3297301b41abbaa9189a4017bea2043083bf705 | 6c62ea65dbaffc8a0fe78a62957cf920b94a362cefc2de3d41850c56621da29b
pattern_e19de4a371a00bf8,Integrate: (6x + {n})^{n},Integrate: (6x + 0)^2,22,1bf94cc7d4d739a7122664539a063bfd6a17d991401fa3716bfeb8c6d16574c9 | c49991d40c6fdc2c8e3ec0ba2463d4d9f3aeb9493ff1f9638f4e6bcccb0c5da0 | 3c044ad8eb456569253d67418781c02d9f3d5a41562fbc95c95aebe0d623c219 | ce7560ad5ac1d75e6b758d25e2e86a50e26a2c5651680192c164776c399dfabc | 29b813078217fccf183d3752513e9c3f99f921dc976c5ac4a453b5a40f5da4e6
pattern_7c528c8f4627e3c3,Rearrange: 2x = {n} + {n}. Then x = ({n} + {n})/{n} = {n}.,Rearrange: 2x = 1 + 11. Then x = (1 + 11)/2 = 6.,22,73438785fcee999afd06c68f91a909fcab641b31f35811704fabfd23b812dda8 | ec461ca4bd8dce6af7446ed63aac2d69fda137ab6ab461e78212b5f6a711b963 | 4c62f5fc200c43bdfe71554adc1c2bd04c14ebdf9178ec0a1903b26ae86557b6 | 47835fb33875aa58978ec52af01d0bc9f7028dee31380671b33f59700596a3bc | 2d60fe9a2042152dd271901c1beee9d6e0d7c837d8a8063427ebc5b14323b0d1
pattern_1cd64d6a8a039da7,Rearrange: 3x = -{n} - {n}. Then x = (-{n} - {n})/{n} = -{n}.,Rearrange: 3x = -1 - 14. Then x = (-1 - 14)/3 = -5.,22,d37bf3ed02c480dd09ed66fb2715379f5a1bb1ca1fd1b0902d807c31ab4f94ae | 279e71ce2db10557da19f7a370d21dfb59d5b7733061a4cd5c7bf7f39838df86 | 643e293e88971015368e631a54473c092a23cbace77515cbd8362bb99b7954f6 | 00227235bc765b82a448e6353cca29882fa29cd12df5b9e8bc8569c157d9757e | 003557bbdd5f189681e5c86b3854d340e30bc20dfcd5f16e3082196fcab80a4e
pattern_0be63dc218de6fde,Differentiate: (3x + -{n})^{n},Differentiate: (3x + -1)^2,21,c04838242774298c66899ac7e08b24c002bd058d1b6624a4989bae1b22313f63 | 931f8db939b76adad9939493d9b718de3aa580f57644c78100c0c9259d0b54b0 | b1a4b508499dac4acabcd0187ba5506bb2d5f73790d65d37fc18d1750222c1c3 | 9aded5aa4c32832104d5adb8c85e6de8082161903a65ef221ce3cc1637cd96f2 | c2df103a056975114df923ae5c583a5fe6ba4df1616ae43ac7c211467eb0a6e6
pattern_85a9cc789730d87a,Rearrange and solve to get x = {n}.,Rearrange and solve to get x = 0.,21,9db7ba0eb72ebb1bdd492d2cfaf1d3c858717d499e529b8a58bebf48d19e903c | 5ad62d56cd19fa1f91c5b714ddd730254382b86fd8c341936b4ee78f72fdc54b | f72a67bd7f4109bfc2e9e63b75d851ddf0cbd52e373f016769d9be15c2ff5056 | 8cd6f2f7c7a7a9c00dbab2a53b73d9f676e221a7731ed60d832db2116d955a44 | 1522c95721d5162bc1bc9c2b389e696cdb11833effcda42b5731a2002a5e0fde
pattern_4549bd96bd9c074a,Rearrange: 2x = -{n} - {n}. Then x = (-{n} - {n})/{n} = -{n}.,Rearrange: 2x = -1 - 15. Then x = (-1 - 15)/2 = -8.,21,1594445f2ef1942c24448e1f16e7ba4bb6da97f2185989933f4040e108a44527 | 95ea58872fe770cc563c0b5d1fc1c84508600c762af2d919a6bbc8de6526fa73 | aafa93d2abee7c1de3e62840e29bb4a9ed527e93d1b46ffcc3254b19c41f2abe | 9ff4cd41ef92f58391461b5dad8a332473d478eeceaecce2704de3c551a64cbe | d400ace568ced7771e5ebd2d4c605aa2b3b35a23ef9a591e2f86b1090a5d2195
pattern_c8cbcfaa67bf8ea8,Rearrange: 3x = {n} + {n}. Then x = ({n} + {n})/{n} = {n}.,Rearrange: 3x = 0 + 18. Then x = (0 + 18)/3 = 6.,21,83b1d33e93076aab52a1b861e6e0a2e4b69114839055e7a8b8c2ba96aa4a930c | 4c2a08b95d7b082bb113edd1ff1c799f660f24233f9d06efc155478fa79e2b40 | 2641f3f46a65377e0baa1657e3c6d7f90267657c66d6222d755c5af958815075 | 37f08d16b5915b82d3b5e6818e280aad8e9a6fb1105c8f563f95b2bafd6c7fa3 | c6794c7ac054f00e26bb0ffb52abfd0b1d4f8b8ad5a7b25464bc006fb9a896eb
pattern_7bc7635278164a15,Differentiate: (1x + -{n})^{n},Differentiate: (1x + -1)^5,20,0b327c149ee17ca6145847daf00c886d44f55dc7e87f5e97ba48d61b82fe6332 | 37acbbf7ff1ada62458662d06c2f5f149c1c7558842c26500f55dd0d01f56b6b | 63dc3baf2ee8559c2df4d4b82c3762584711ac690650c9427a84f094a3d51e48 | 4aa0025621dcc16c679666b043d37ffe037d13fcb7258b47b5d0fd4a1a55564c | 91315ce9fb521c500d23a5c26d7085a8b6735cf67810eb37144ecce4c6fa4cc3
pattern_b6003d91033a3ada,Differentiate: (2x + -{n})^{n},Differentiate: (2x + -1)^2,20,5b2de1de0803ca4fcc578f68922e05bb1245f9bf1cf42d8df0cca0876d93c057 | 7eae54c1a73bb8517e5fe4409a3624d2806618d0d8ce4ed29ae4cf4969efbbce | 018c99f6d320fc541e871486124227f9552102280eb5194607c27173bcae39f9 | 05bb7205e0c119f83dfbb36a96c5421ba3632caeda57b16dbfbdf196bde7cbeb | b996b9448ab8cf1a5bc0b63b0087f62b82c872dbccf41169cedf662f9b4c1834
pattern_e215ccc64e9373d5,Differentiate: (6x + -{n})^{n},Differentiate: (6x + -1)^2,20,3aa0fede07994e3390ed52a562e151b67e05c926e6e451db81eaaa8e624ff9df | fc075e9cc75df3dfc78f654a36291df6f1237b8a4ed004d930b5c6aad2522461 | 4bdc66f2f80a9cab392b25cdb594977b1e13ade0368cedbbb46ce592f325260a | 2f01a97f9b537e1b7bf1514037b2bc7023b2f4364078962109da1301d2b7e521 | 8bb8d112c10a11a01da3663a3b563f56b6b771c70338f81cebed13561749b6d4
pattern_a93f9aaef9c47873,"For X~Bin({n},{n}), what is E[X]?","For X~Bin(4,0.2), what is E[X]?",20,3563e78a54e5f9c5f9de89d338d8268b1ca462e82316cd61e380fc260d90b086 | 1bc78cb16f9028452df6f6f93aad0e60a9726b428f0ec7ef8e3219b9d6c0b4fb | b92f570bbcaef92471518387e6ec91ded2ba62ca49ab19dd4cc27539b33b0c0e | 27645935fd6191c1a867ac81c14ac70bd93bb3b83544fd58bcd40fb70a18b74b | 70b6c0e1c637aec18dcc1e3f846d6b6c6ca6c70afcaa1cb65aa125fdd4531601
pattern_2674b539f4891a12,Integrate: (2x + {n})^{n},Integrate: (2x + 0)^4,20,9d81c4052fa0d1ebd3b0c77409bde5d281901cd77d6ecde6c91023ee3bbf794e | c202b9149e9035113c65b72a73d4e24b9e32197b2b7c5ce9ed12724196dfc331 | 8ef18552e46c9ad8c4420110d1779961937e9b3a89a79831ebcee7d47eb360f1 | 6717e53918de4c8549a8fb1b7c0094d3de22e60a95c6a95c251c17b52f61c3a2 | 7b2014832330948dcdbc7e5248e05c22ee897e47eaf88e6cc1ec9d370a2ed8a6
pattern_0ee388e650a59aa7,Integrate: (5x + -{n})^{n},Integrate: (5x + -1)^4,20,d047db67a8852d45a0a72f970cffd0913728218edf78dbb00d6c1e42c6920758 | 8326060899aac120dbdb318b2d43fe1c3dc207b4fe1f15f06ffcfa901f9093f1 | 64946ca57ebedb6f2beb22eed20f34970b52cdb5df2523c35ba0957884b8f030 | e611986c8ea6bf535f7a2c090e332bc3e103de428f1608d4e163940dd683b0ab | b97456d559e2bfe779a754771693462b13527c1b243aa19f552ef61e760a7e50
pattern_eee9f60de3e0d4fd,Compute: √{n},Compute: √100,19,09fd9d295f77947a6d33aa02dd732c8f1cb9a49cd32d89879001c1e373375783 | 8e57c040006678ef9724d647dbbd90bf0c17890ee4cc61e438ea68783d229694 | 86913718e29bf5fa92ead91f65c50723d29815d78ceb65283ceca0eae5391ca1 | b08ddf56533be0d1f971e14a1965140d39d0ddfe297f08436356699a1d3bae37 | 60ff7ca276b69c056e2f4f9412d5f5968a4a2af472fb832177faefa5731c7a72
pattern_7cd397224577f05c,Differentiate: (5x + {n})^{n},Differentiate: (5x + 0)^2,19,5cc72aa47354474ee86bfbc3af92fef94d27f92fd826f050bc99db0e3c9f608b | 0eb6f7f2caf4b6a0cc3b0eb80e34fccbd2a2a7c92f4dc428873b1949ae089afe | d155002a674d1a5598a026b02ad82991caef6825963b3e1caf1e52ff63d4e49a | c0a0383959e7cf68b03d68ecfb8b267bf9bb7286797ba89a1a3a4f2a0aefe3a3 | c10aecea2bc7f3872507c50cf5f60358c3b8de283dcda93e50f5b4c4bf51d110
pattern_9afabb4e46347f45,Evaluate: 3x +{n} when x = {n}.,Evaluate: 3x +0 when x = 0.,19,71ced7cee25f5f34744d4a6b2551729c0dde64ce720ab8e146d0c5b1b91512ad | 8273c55b14de55dcea72f54254ca4bfc87dac4fe26b1ec5336525066c284035e | 376f4cae1bd263eeeefdade9efe8175dc7ffc370d611c5721478b8fe7162f896 | c31808d98243aae652142987466b56ba3bf3a1f83165b36a8d2a100f528ba983 | 3e4df40123e4740df67a4cb478fa7000e5e2795ab5abf48f6a7e8433e26e7f1e
pattern_09f89884ac4ebe37,Integrate: (1x + -{n})^{n},Integrate: (1x + -1)^2,19,cadf206f4c0fa4f2fb1fe3a48f3163c0bf609d15af179d9a3a2fe232a82844d1 | be5bfd36d4af3a077f54c7172a271bd1253b65e372e3cc8e25eb28e620308dd9 | 5cc6a3de9b1ecb4701ce00fb117e6ff7abee7d22f37226f9228e9ff93e6e6c53 | 28f4b5d9930a2f5a15ddd1c36d502356fafc821e919f25e22b61f55637a04fad | 54e8123d227ed2960d80b897c0a21917c406761e47b94e11fb7b3a1d10faeec3
pattern_073b57916d0c9570,A bag has {n} red and {n} blue counters. What is P(red)?,A bag has 1 red and 2 blue counters. What is P(red)?,18,e39c08818354baa38ce2faa3022fa2651d85d41a0d4562b46687221f50559f82 | 73718f720357cbf1ef8e86ea2d4a2a385188b38578b906c10ec0e8483ffbc037 | 46cc710e21a6ca90301b51300ccb1065d9cda93cd6b3c90c8508bc38d453d249 | 320a193a25ffd643f2fa1433388cf8f8c80f8b19250779d4e49d1c980d53a628 | bc419ad5b79142160e2e3d79205e62190c5580334cfe859cedaf506b27cfeccc
pattern_51f90b30e055c544,A sequence starts at {n} and increases by {n} each time. What is the 13th term?,A sequence starts at 0 and increases by 10 each time. What is the 13th term?,18,6ca847883fc33279c69d6e9f6e320f159876b395cf6ce199f9d789e1f1b6048a | b9ccd6013427681f495c210fd3985730f100ca6336de3b76cc0a783aba07c7b0 | 2880bada615c44c701f538efa646af779440aeb4a8f57f5f42ba15c08b690da1 | f2f693dfebc4e45060095f2f794de41d771e9f41d7c53ed8a3a11232739f8c3b | 715867c212af11240ddebde9678dca346be3b71fa80af73d2ecab1a675a0e934
pattern_d0c84a5528e578d3,Differentiate: (4x + -{n})^{n},Differentiate: (4x + -1)^2,18,6652a279598fca3f753d7373c1137f9e17cb2af05894498a031f68ad730fe6af | 33e8fc4fa6da3ae893374cabb630d5aa7645898e7bce4668b1d8453462f5a081 | 21c02d0b7dfff647d99a5b713cef0ddc363cb1fe09aa757c8046ed678d0893cb | d8a9d9c337034456e632fb00772e561f4b2366b946e58a58abf2dc2aa960d860 | 4385a336764ed83d55552649e8a3db001820f6eba6163be4c2b26c042d952a81
pattern_a79015e1ca6aa986,Rearrange: 2x = {n} - {n}. Then x = ({n} - {n})/{n} = -{n}.,Rearrange: 2x = 0 - 10. Then x = (0 - 10)/2 = -5.,18,4ebcc7adc3e9008ef89fd5ffdf579e0c0038dbba19621f2e3111fb4313ba1f57 | 5519d993e9b569825c65e027946d0483064d97f5f8950b89baaa147175c13d2a | b873a1df2869ba27b76315814d54bb5b827ea7ee24b7c6874a65428f4eb9ad18 | 420d6e28d0ad661d4b08dc8fe645d344922ffaba2c9c33a62bb6a6b8df9dfa92 | 5db6200e3e6034c1ec37811e5abb79c22ffa191612c43620beca53a25270d148
pattern_6b938e37d0fcf1a4,A sequence starts at {n} and increases by {n} each time. What is the 17th term?,A sequence starts at 1 and increases by 3 each time. What is the 17th term?,17,415c37e53e18827cdd1b929d028532fefb5cbe7d674ede02ce1f2ca9c3f98b98 | 143bcef10ec1ddc5b128b1d802cd509bc326041cb7b45fc067480ea3b867576a | 7acbdcc399cdfb04c97f301bdd242377a215ad9a4e709b7bd4e644208fa54dc5 | 3081e31f1326543caaf918967c360da29d5a688600065c635930c67fcceab234 | ca0470f29a38277530e7cd784178cb2ed445cfb7ee5d967bebc533349f00c59d
pattern_cf8cad6212a98eda,Differentiate: (5x + -{n})^{n},Differentiate: (5x + -1)^3,17,f77874081771ea2114d757405b3fd74cd6d8d8d062d511c49f9aee29b6e5f1c7 | f9ee6b0dd6c6a26854a4d8e2b70cf70201ed573d810a9ff49d5963c889a96650 | e6a98a4c25a4a499c3aeb726578697c859f5377f7845576d30653f184e995540 | 9a8a0005d13aa9c556e32e44d2ce28f6422fd092aab926a84ae9f88d2ec6f0c3 | 21ff4e1d8924ec37add1ce9f8b409bae9cdde59188ce8855a2edbe80011f8f0c
pattern_1f76bcd8565523e2,Differentiate: f(x) = (-1x +{n})^{n},Differentiate:  f(x) = (-1x +0)^2,17,4651adc3f0a147f55f74e51ce6276c66d3e80dad2468c788566acd752b519137 | f9f5412e88c228225fd1d797f3f841d6178ca623a479f156058490f4e798731c | 31a5464049cf4c5eb5b4bb6bfcbf38d7a1d7c6105291588eb43474fe68ec3eb0 | 9dee0cb030f30413452a7b875fa920e8bdea2e6992a1442fe6edd433fef09258 | 5329dad66a5c3466d15d9544542dfb98d2fbff0c7586eb491340af5a94725801
pattern_f8acc71aa9dbbaeb,Differentiate: f(x) = (-2x +{n})^{n},Differentiate:  f(x) = (-2x +0)^2,17,e3543d70f2523e5f449fa536fbc0e060ae79c7ac0170709fcc75007ad4479b06 | 12befe807fdb27e903a1e03c147c21cc7f3a794370aa285ba0f84b050f0da5af | b8d796ff20223d62a23e5c06c4c33a72be0778a1a76e297f2c0048b466788b09 | d7b3861826a5d0336c1c4961d3595651c44320f9b188ddb1a9d5f4f76fc568e5 | 3cf907dd514a24c45b251998edd921150e8c8b2422f8db0d1afa4a4b27c74fa9
pattern_01be15133c1e956a,Differentiate: f(x) = (1x -{n})^{n},Differentiate:  f(x) = (1x -1)^2,17,c6e1db2b21f9455492e54eeda75cc4d95ce6bf9c980aa4b8e08606fb3f862016 | 65cc44b5a95de2c9a22983fc25c09a98e2a1fed27247ecb00e37b49905b3fd5a | 67380b73dcc0e7aecdd642c0bedbaee791ce40c847be93a26301a0f75ca4498c | ebdf07e6756c65e6e1f040a01ff65b09572b9b2bf8dbf3028b47442fb08899de | 6fe292d6b20b55d2f95968a9cc977921ba8048a818aa978a9b00d6684c6e5ef0
pattern_88ba3ed5d8c5cda3,Differentiate: f(x) = (2x +{n})^{n},Differentiate:  f(x) = (2x +0)^2,17,e46323afefacded2b7ad93dd214e936b24f1f97b9e1daca3d15c186cb4937bf1 | 55d1b0f3a2dd10c1504e73713858d664df4e9c4a3b5548bdded21e1acb4c9594 | 89cc45ab3d7d96cca12ec13fc02d9b6042f767319b40ac3cf9415388b8c81885 | 9ae472e964354ded02fd1979aba344d6261829a433f30812b187799611bbfe4e | 3604d768012b21d6ea603891671a7b25e9a3e8b7e71885aeac4fd56e428e7ed0
pattern_4ecbd572e42c4ea8,Evaluate: 6x +{n} when x = {n}.,Evaluate: 6x +0 when x = 2.,17,14a01ce77b7c7cc73cb8d0fb71b08b16efcf99c80691bfe7ec97b989576b7e71 | dceacfb2325724f062bda7bb36a7151406a88b743d281d103244da871600de08 | dbb8c97af18c18d52b8f26be944b69aead95ed73c5dd9592ffde158601807f44 | 6cfaddf4439597d5a9f6c5f1bbacf4023d9067dead3da7b5d6f95316f0b07f1d | 5e57a1704d6caa07c92e688a1f77a0c9ce8c286b3f8e52b26371f70a2782d65e
pattern_a26e77c7d337aadc,Integrate: (2x + -{n})^{n},Integrate: (2x + -1)^2,17,2f87d4093536ba9a60f2672becdcb8d372e5c06a7ce17e93905fed8e01cee518 | ff3f7a4120d4993ae7a7093011ccd6d9b9f643321c73a3ef58771617efb6daa7 | 9c3005957c296153a3817597115a5e23198e945cf3ddcc7e5dcbaa62967e718f | d2ad4f9d79ea0608fc621791c2e567329bb0e3130f3979cc44e5e4a42e03dffd | 9c808d1c26a044b2596854c8c8998fc29db171d83a4bda2661df0a4b2ece6b41
pattern_2495a116270f6254,Integrate: (6x + -{n})^{n},Integrate: (6x + -1)^2,17,f6ac363089792c76a5350b2323593b1d52dec66533bb88ee19edf83c27018b1a | 6e4845e8d553e635372826856010e41073880f980755ce4812c3f7ff73bb980f | c4c8d685d13e7a75b196b925ab33acc39ff38fcea60670e729e587786a984633 | ba7f1c74bc40db234c594985a0db3f1b14d69cd3d737b48c4d54f9ab2342cbed | 8561dfa63662075fd4c753bea605b7fa39d00d9d0fdcd324e6f1c2139dc19530
pattern_71d1e2bf63bdcf1b,Differentiate: f(x) = (-3x +{n})^{n},Differentiate:  f(x) = (-3x +0)^2,16,1bc76b2a08f83dd4d7877decf35bca60847d72ad7d75dcf3ff74ef9fdd6913a6 | 5f80bd52867a95b3111a2bce806430524fe3b9acff8ce3a4df3001709f75d3ea | 1c5f16f0e22691d42b371cb53d69d256ff535b8b3c4b2ec6ad9075410cf8a911 | 4f7c5c6b9d359d95b994fd9971c114c78516538ba6f1cafba09d36038db2c5ac | 2509beb4ff9765e26beeef28d95c395cc3f7f64847f6da3196e5c1c42502888f
pattern_73d93564c7b478d9,Differentiate: f(x) = (-5x +{n})^{n},Differentiate:  f(x) = (-5x +0)^2,16,bce819da0f80b13fa9a361e74dade3aaab42d0d4a1ebbce7bc328b612aca4091 | 4211f486da60607473d59f0af7080de1936360b4318e2a6a2e3c1b183efeaa34 | 468e7aaf32dc3e114094ee89d7f24189d6b6c5ad89b300cc0d8c6da90ee1d896 | 836742d52a1ec18fb98811c5d50c3d0b777ed74620b73d5d3ff178056ad1a4cb | 94ec9682df980c2040f44a01abab16850f33c0b84427c47aa14e18da3e4ca54a
